Age,2020 Total Workers,2020 Total Median Earnings,SOE 2020,2020 Number of Female Workers ,2020 Median Female Earnings,SOE 2020 1,2020 Number of Male Workers,2020 Median Male Earnings,SOE 2020 3,20.2
"Total, 16 years and older",110387,984,2,49476,891,3,60911,1082,5,82.3
16 to 24 years,9364,606,3,4172,589,4,5191,622,4,94.7
16 to 19 years,1336,497,5,536,464,11,800,513,6,90.4
20 to 24 years,8027,624,4,3636,606,4,4391,648,5,93.5
25 years and older,101024,1029,3,45304,929,3,55720,1144,3,81.2
25 to 34 years,27661,904,4,12375,852,6,15287,952,6,89.5
35 to 44 years,25641,1106,6,11293,978,7,14348,1205,9,81.2
45 to 54 years,23814,1129,6,10853,977,7,12961,1260,9,77.5
55 to 64 years,19017,1096,8,8683,955,7,10334,1228,11,77.8
65 years and older,4890,999,11,2100,897,12,2790,1115,19,80.4
